X,Y
-367,-77
-315,-74
-364,-23
-304,49
-321,-76
-377,13
-361,29
-423,20
-381,20
-375,48
-307,-31
-435,-65
-454,-30
-288,-13
-444,-68
-522,24
-325,-11
-411,-17
-368,-36
-290,-21
-374,-81
-375,-50
-424,-22
-284,-162
-630,78
-436,-56
-440,85
-480,-83
-590,20
-345,89
-518,55
-563,45
-334,51
-386,125
-637,78
-235,270
-435,143
-370,55
-395,283
-371,294
-429,89
-415,221
-402,54
-485,382
-429,49
-202,127
-262,40
-221,332
-217,-33
-250,266
-115,181
-436,220
-329,296
-117,417
-207,200
-472,25
-273,34
-139,191
-232,335
-227,211
-339,226
347,248
-451,462
233,151
76,299
-318,159
63,261
338,227
-146,126
94,394
277,256
193,100
-147,-36
43,372
-81,474
-308,233
162,538
-142,75
-106,315
58,205
-278,325
24,171
-287,261
-245,249
120,473
406,-37
-329,731
-251,262
182,271
18,460
-230,5
-240,91
-120,326
403,69
245,39
138,408
-223,413
-153,132
142,1
142,179
252,452
-231,317
-159,337
361,396
229,39
-15,481
242,516
-121,283
503,-180
-66,252
498,132
-309,320
461,706
439,476
534,-55
226,155
23,217
21,371
451,222
-72,229
158,203
269,483
6,267
426,443
-105,-15
494,484
483,121
286,222
122,187
-16,295
557,252
56,325
464,370
391,63
74,482
519,266
467,153
115,59
452,394
466,88
492,109
399,130
304,320
274,160
191,263
147,539
143,402
305,119
388,254
532,497
619,322
280,107
24,478
442,471
320,307
89,-193
414,47
453,254
220,526
587,75
617,290
269,-37
293,249
377,265
625,226
469,65
268,-65
404,109
657,306
426,141
379,35
154,172
561,56
383,337
429,-49
460,126
206,298
657,-310
153,312
121,174
394,450
455,257
388,-39
564,295
212,-184
418,314
455,-48
510,173
652,286
468,158
351,48
540,92
550,-138
568,-36
615,254
376,231
750,253
537,43
699,27
161,-44
649,147
657,5
699,-45
540,229
586,-54
109,199
898,72
158,55
697,203
505,38
797,26
638,-7
486,73
734,-45
88,-121
866,-243
255,126
361,378
751,-5
638,31
311,-167
449,137
386,-118
201,13
433,-25
325,93
583,-57
563,-34
312,-96
321,-228
576,-35
-50,-66
376,-395
0,-241
636,21
337,59
-227,-77
601,49
222,42
222,-163
740,-287
257,11
-165,254
260,-327
242,81
811,144
297,-50
401,-106
263,52
340,-110
821,-168
86,104
166,-300
367,20
160,-187
-92,-384
176,-135
-57,60
294,-246
79,-225
-9,-335
232,-324
201,-292
94,67
623,201
-80,-194
256,21
87,-363
129,-75
-142,-542
-123,-313
-24,-71
323,210
-53,-183
-76,-123
6,-151
-95,-46
153,-45
-186,-59
16,-158
152,-217
-199,-307
-207,57
-260,-124
-213,-561
30,-32
-11,-342
-201,-418
92,28
-35,29
-95,58
-241,-278
84,-119
-199,-193
-247,-48
-128,-365
-120,-220
-68,318
-293,-187
-258,-488
-492,-266
-373,-152
-621,-139
-597,40
-420,-313
-422,-235
-675,-348
-760,-382
-447,-137
-436,-477
-280,-26
-276,-535
-699,-238
-250,-109
-404,-199
-561,-205
-373,-352
-339,-22
-481,-195
-460,-301
-433,-224
-541,-154
-525,-336
-564,-133
-576,-314
-565,-138
-526,-207
-654,-188
-534,-235
-462,-212
-688,-237
-414,-151
-561,-297
-527,-157
-517,-188
-504,-252
-522,-174
-580,-271
-557,-160
-547,-193
-573,-231
-568,-210
-599,-200
-533,-187
-485,-222
-525,-153
-583,-191
-529,-208
-509,-158
-517,-183
-502,-170
-503,-188
-470,-162
-463,-167
-450,-172
-435,-167
-399,-135
-354,-108
-341,-100
-304,-72
-307,-28
-310,1
-297,-5
-307,23
-305,27
-325,27
-311,22
-339,2
-329,23
-340,-15
-319,-5
-329,-42
-350,-52
-330,-51
-347,-58
-364,-41
-370,-57
-315,-36
-374,-41
-336,-4
-342,-52
-372,-81
-384,-18
-395,-67
-372,67
-368,7
-407,-33
-370,24
-405,36
-391,-38
-382,117
-333,42
-368,-33
-250,39
-318,25
-326,98
-338,58
-284,-86
-405,126
-226,-25
-279,-2
-223,45
-275,23
-276,63
-380,-87
-507,26
-272,72
-395,25
-268,32
-188,73
-228,10
-354,125
-182,1
-196,227
-295,-38
-262,44
-21,90
-294,30
-212,87
-323,48
-106,73
87,215
-110,230
-308,34
-120,382
-183,-86
-182,193
101,87
-61,283
-2,32
-91,372
-55,-39
-90,130
50,274
-57,-6
-32,354
-133,93
104,190
-102,-20
44,273
-149,121
-19,83
-118,122
-150,239
-27,174
14,212
38,198
-31,162
66,296
-165,184
-20,125
-2,236
-77,262
-247,-15
-120,305
-88,73
-9,183
152,29
-64,195
83,207
-61,40
43,166
77,50
40,227
-19,310
21,-1
133,140
-77,104
86,301
-2,148
-123,21
244,211
260,293
9,208
-49,311
234,174
-19,305
-3,24
-202,284
-33,98
-29,229
267,149
23,189
-55,95
44,211
-37,238
35,176
-29,184
-4,216
253,59
215,169
-41,201
200,236
-111,120
135,119
-13,216
165,256
72,279
133,318
159,8
-148,268
160,153
105,199
149,9
222,213
-81,258
55,97
