X,Y
47,24
50,24
16,33
22,32
15,32
13,40
15,39
24,38
13,44
8,45
0,32
19,36
22,31
12,30
10,61
28,53
14,37
13,37
16,29
34,34
33,31
45,21
37,25
61,16
45,15
58,24
68,20
56,35
59,17
49,16
47,9
63,26
65,25
70,27
59,47
45,45
46,35
48,32
41,40
62,23
55,28
40,50
49,21
57,20
48,29
47,18
63,22
61,30
55,21
49,13
58,17
88,39
76,26
36,7
81,33
52,18
59,5
80,21
82,14
80,46
50,-7
45,31
74,-8
79,6
46,35
62,11
78,-2
58,6
37,16
88,16
33,-14
43,31
30,-4
58,52
43,19
68,38
32,37
66,43
64,31
55,23
23,9
45,32
14,25
37,27
30,10
47,35
27,30
16,48
2,6
44,52
43,-3
13,33
51,-4
13,67
81,16
73,39
85,27
-16,59
31,-10
33,15
17,31
10,-8
3,23
33,18
5,-23
46,34
39,21
32,40
68,16
13,36
49,-43
22,73
20,24
107,24
40,-18
13,50
-21,30
-14,12
68,21
22,34
39,18
27,16
17,29
44,41
7,51
-17,-12
17,26
41,49
83,18
31,44
27,6
5,37
-4,41
14,23
-43,21
-55,-32
41,40
4,19
-27,25
10,26
2,56
27,-11
-13,80
-50,-49
-10,-9
91,35
-3,42
-95,-17
63,2
74,34
55,-40
-1,84
2,-49
19,70
-19,-71
16,22
26,75
25,-22
-49,19
69,26
17,-52
-47,63
104,-37
-60,139
56,-128
-57,260
46,-135
35,117
-54,18
3,-12
-74,113
-3,-29
4,-13
-16,98
22,-28
-14,69
-60,0
-12,14
-18,4
-5,30
36,29
-14,11
66,57
33,-6
22,101
33,-6
-77,27
34,37
54,17
-41,4
-27,35
54,44
39,61
-4,-52
-27,-32
-9,-14
-41,35
-5,-33
-51,63
93,6
4,32
50,-12
49,89
0,30
-55,-75
35,69
-2,-37
-13,93
4,7
15,-57
-9,171
30,-160
-22,113
29,21
-13,-62
-12,91
33,-15
-58,-62
16,134
-44,-58
-107,-41
-25,30
-23,0
-5,40
-52,26
-47,-6
-3,66
-16,-101
-46,161
-80,-145
-17,27
59,104
-74,-91
-13,26
-45,51
-34,-1
-8,2
-57,-4
5,50
-57,40
-62,16
-16,40
